Province,COVIDcase,COVIDdeath,COVIDrate
Anhui,990,6,0.61
Beijing,554,8,1.45
Chongqing,578,6,1.04
Fujian,318,1,0.32
Gansu,136,2,1.48
Guangdong,1428,8,0.57
Guangxi,254,2,0.79
Guizhou,146,2,1.37
Hainan,168,6,3.58
Hebei,319,6,1.89
Hebei,319,6,1.89
Heilongjiang,484,13,2.69
Henan,1274,22,1.73
Hong Kong,356,4,1.13
Hubei,67801,3163,4.67
Hunan,1018,4,0.4
Inner Mongolia,75,1,1.34
Jiangsu,636,0,0
Jiangxi,936,1,0.11
Jilin,93,1,1.08
Liaoning,127,2,1.58
Ningxia,75,0,0
Qinghai,18,0,0
Shaanxi,249,3,1.21
Shandong,768,7,0.92
Shanghai,414,4,0.97
Shanghai,414,4,0.97
Shanxi,134,0,0
Sichuan,545,3,0.56
Taiwan,195,2,1.03
Tianjin,141,3,2.13
Tibet,1,0,0
Xinjiang,76,3,3.95
Yunnan,176,2,1.14
Zhejiang,1240,1,0.09
